G1?,G2?,G3?,G4?,G5?,G6?,EX_A(e),EX_B(e),Objective
0.0,0.0,0.0,0.0,0.0,1.0,-92.17151227440358,-0.0,92.17151227440358
0.0,1.0,0.0,0.0,0.0,0.0,-92.17151227440358,-0.0,92.17151227440358
0.0,0.0,1.0,0.0,0.0,0.0,-91.95464228403546,-54.677919906108194,54.677919906108194
0.0,0.0,0.0,1.0,0.0,0.0,-91.95464228403546,-54.677919906108194,54.677919906108194
1.0,0.0,0.0,0.0,0.0,0.0,-91.95464228403546,-54.677919906108194,54.677919906108194
0.0,0.0,0.0,0.0,1.0,0.0,-91.95464228403546,-54.677919906108194,146.63256219014366
0.0,0.0,0.0,0.0,0.0,1.0,-91.95464228403546,-54.677919906108194,146.63256219014366
0.0,1.0,0.0,0.0,0.0,0.0,-91.95464228403546,-54.677919906108194,91.95464228403546
0.0,0.0,1.0,0.0,0.0,0.0,-90.49326790832752,-0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,-90.49326790832752,-0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,-90.49326790832752,-0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,-90.49326790832752,-0.0,90.49326790832752
0.0,0.0,0.0,0.0,0.0,1.0,-90.49326790832752,-0.0,90.49326790832752
0.0,1.0,0.0,0.0,0.0,0.0,-90.49326790832752,-0.0,90.49326790832752
0.0,0.0,1.0,0.0,0.0,0.0,-89.55068949866035,-0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,-89.55068949866035,-0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,-89.55068949866035,-0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,-89.55068949866035,-0.0,89.55068949866035
0.0,0.0,0.0,0.0,0.0,1.0,-89.55068949866035,-0.0,89.55068949866035
0.0,1.0,0.0,0.0,0.0,0.0,-89.55068949866035,-0.0,89.55068949866035
0.0,0.0,1.0,0.0,0.0,0.0,-89.51748756327387,-85.05528437167632,85.05528437167632
0.0,0.0,0.0,1.0,0.0,0.0,-89.51748756327387,-85.05528437167632,85.05528437167632
1.0,0.0,0.0,0.0,0.0,0.0,-89.51748756327387,-85.05528437167632,85.05528437167632
0.0,0.0,0.0,0.0,1.0,0.0,-89.51748756327387,-85.05528437167632,174.5727719349502
0.0,0.0,0.0,0.0,0.0,1.0,-89.51748756327387,-85.05528437167632,174.5727719349502
0.0,1.0,0.0,0.0,0.0,0.0,-89.51748756327387,-85.05528437167632,89.51748756327387
0.0,0.0,1.0,0.0,0.0,0.0,-89.49749486636892,-75.4322989752433,75.4322989752433
0.0,0.0,0.0,1.0,0.0,0.0,-89.49749486636892,-75.4322989752433,75.4322989752433
1.0,0.0,0.0,0.0,0.0,0.0,-89.49749486636892,-75.4322989752433,75.4322989752433
0.0,0.0,0.0,0.0,1.0,0.0,-89.49749486636892,-75.4322989752433,164.92979384161222
0.0,0.0,0.0,0.0,0.0,1.0,-89.49749486636892,-75.4322989752433,164.92979384161222
0.0,1.0,0.0,0.0,0.0,0.0,-89.49749486636892,-75.4322989752433,89.49749486636892
0.0,0.0,1.0,0.0,0.0,0.0,-89.0304380657436,-0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,-89.0304380657436,-0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,-89.0304380657436,-0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,-89.0304380657436,-0.0,89.0304380657436
0.0,0.0,0.0,0.0,0.0,1.0,-89.0304380657436,-0.0,89.0304380657436
0.0,1.0,0.0,0.0,0.0,0.0,-89.0304380657436,-0.0,89.0304380657436
0.0,0.0,1.0,0.0,0.0,0.0,-87.68556894015637,-0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,-87.68556894015637,-0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,-87.68556894015637,-0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,-87.68556894015637,-0.0,87.68556894015637
0.0,0.0,0.0,0.0,0.0,1.0,-87.68556894015637,-0.0,87.68556894015637
0.0,1.0,0.0,0.0,0.0,0.0,-87.68556894015637,-0.0,87.68556894015637
0.0,0.0,1.0,0.0,0.0,0.0,-87.24813338315936,-96.63304742993898,96.63304742993898
0.0,0.0,0.0,1.0,0.0,0.0,-87.24813338315936,-96.63304742993898,96.63304742993898
1.0,0.0,0.0,0.0,0.0,0.0,-87.24813338315936,-96.63304742993898,96.63304742993898
0.0,0.0,0.0,0.0,1.0,0.0,-87.24813338315936,-96.63304742993898,183.88118081309835
0.0,0.0,0.0,0.0,0.0,1.0,-87.24813338315936,-96.63304742993898,183.88118081309835
0.0,1.0,0.0,0.0,0.0,0.0,-87.24813338315936,-96.63304742993898,87.24813338315936
0.0,0.0,1.0,0.0,0.0,0.0,-87.23608129054519,-0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,-87.23608129054519,-0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,-87.23608129054519,-0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,-87.23608129054519,-0.0,87.23608129054519
0.0,0.0,0.0,0.0,0.0,1.0,-87.23608129054519,-0.0,87.23608129054519
0.0,1.0,0.0,0.0,0.0,0.0,-87.23608129054519,-0.0,87.23608129054519
0.0,0.0,1.0,0.0,0.0,0.0,-87.1209767271446,-0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,-87.1209767271446,-0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,-87.1209767271446,-0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,-87.1209767271446,-0.0,87.1209767271446
0.0,0.0,0.0,0.0,0.0,1.0,-87.1209767271446,-0.0,87.1209767271446
